"Priority","City","Niche","Why this market","Opening angle"
"1","Austin TX","roofing contractor","Fast-growth metro, storm/home repair demand, high-ticket jobs","Old roof repair estimates that went quiet"
"2","Dallas TX","HVAC repair","Large metro, hot climate, high-value replacement jobs","Old HVAC replacement quotes before summer"
"3","Tampa FL","roofing contractor","Storm exposure and home repair demand","Old roof estimates after inspection"
"4","Charlotte NC","HVAC repair","Growing metro and seasonal HVAC demand","No-response system replacement estimates"
"5","Phoenix AZ","HVAC repair","Extreme heat makes HVAC high-value and urgent","Old AC replacement quotes"
"6","Houston TX","roofing contractor","Large spread-out market, storm exposure","Roofing leads that compared options and disappeared"
"7","Orlando FL","fence contractor","Home improvement and property upgrade demand","Old fence/yard project estimates"
"8","Raleigh NC","painting contractor","Growing homeowner market","Exterior/interior painting quotes that stalled"
"9","Nashville TN","flooring contractor","Renovation and move-in improvement demand","Old flooring estimates waiting on decision"
"10","Atlanta GA","remodeling contractor","Large metro, renovation demand","Old remodel consultations that went quiet"
